heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
queenofpain,9.0,591,758,32717,20616,854,6554,0,1
medusa,6.0,747,775,31555,3861,8333,9724,0,3
snapfire,5.75,323,485,14052,16556,1229,3543,6,2
rattletrap,3.0,327,439,15452,21448,0,4503,13,9
oracle,11.0,292,385,4059,3512,167,1230,7,4
ursa,15.0,718,782,14122,8137,1018,3278,0,0
queenofpain,10.0,538,603,12697,7126,1570,3081,1,1
visage,17.0,564,600,7979,5391,6373,1911,0,1
spirit_breaker,4.25,319,403,4386,10726,120,2022,4,3
keeper_of_the_light,1.33,211,314,5834,7563,0,1654,3,2
puck,1.33,424,433,7797,10091,204,1309,2,1
medusa,0.33,500,483,7626,4172,8,3656,0,0
underlord,0.33,369,344,8174,13513,68,4164,0,0
disruptor,0.8,192,234,5461,7904,0,1554,7,1
disruptor,3.43,342,526,7760,18459,311,2806,18,10
antimage,6.75,535,774,18276,31783,5239,5264,0,0
queenofpain,6.4,729,762,48291,42178,7980,10144,1,1
clinkz,1.86,463,658,17470,27314,7333,7567,6,0
void_spirit,4.0,661,795,37254,46668,8359,11974,0,0
keeper_of_the_light,2.38,298,503,13275,21715,44,2912,3,1
kunkka,3.29,538,763,34323,32511,352,15449,1,0
medusa,5.25,855,693,69422,5391,4787,18824,0,2
monkey_king,2.8,444,658,34282,44530,785,16892,0,0
lich,1.69,281,438,15100,24904,0,5841,21,6
wisp,11.0,303,488,4396,10713,1455,1185,6,1
bristleback,7.5,704,892,26529,15737,1711,1567,1,1
tidehunter,9.5,537,718,11488,17152,4334,2143,0,0
shadow_demon,5.0,395,424,14427,10330,363,443,5,2
leshrac,15.0,765,842,39004,28226,5325,1529,0,0
medusa,1.4,541,576,18283,4061,358,6847,0,0
shredder,2.4,451,460,20605,26401,40,3573,1,0
enigma,1.0,313,307,14650,19002,668,2917,0,0
tiny,1.0,281,339,10983,26496,0,3149,2,0
pugna,0.9,275,298,17637,19884,50,4044,10,4
pugna,0.77,379,567,28153,25303,2149,3575,1,4
pangolier,2.75,503,649,24109,21904,43,7044,2,1
dark_seer,0.89,346,379,18702,26580,0,7263,0,0
shadow_demon,1.5,304,489,15337,20477,0,3768,17,3
alchemist,1.75,726,600,21166,34357,0,7034,0,0
medusa,26.0,424,672,13187,529,2063,1822,12,5
primal_beast,5.2,536,617,34571,26920,0,4591,2,1
undying,5.4,387,542,11690,26407,741,3720,4,4
broodmother,19.0,761,820,28430,29773,16482,2968,0,1
bloodseeker,13.0,804,886,40743,23838,12561,2756,0,0
bane,0.88,212,239,5564,12562,0,2511,9,1
batrider,1.6,389,496,15465,15932,197,3523,0,0
slark,0.67,239,313,4303,12642,0,2699,1,2
magnataur,0.57,474,497,6773,17260,486,3625,1,1
medusa,0.5,524,538,8614,2768,30,1659,0,0
disruptor,11.0,255,352,6236,2635,474,1048,6,2
windrunner,22.0,615,730,17660,7070,1342,663,2,1
