heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
spirit_breaker,1.0,298,389,5609,16416,38,3430,4,2
batrider,1.0,432,470,14569,15447,0,9481,2,0
terrorblade,0.62,451,350,8580,19203,16,5803,0,1
magnataur,0.44,338,415,6401,28211,253,5860,0,0
chen,0.67,279,262,8076,10634,0,3627,9,2
bounty_hunter,1.0,266,237,7495,13410,0,3821,2,1
alchemist,4.25,427,520,9037,7118,1809,4363,6,2
centaur,11.5,515,546,11154,8161,1762,5456,0,0
skywrath_mage,5.67,316,412,12284,10828,124,7408,6,3
slark,21.0,654,819,35285,13357,6526,5469,0,1
viper,10.5,749,704,19145,5657,648,3935,1,1
terrorblade,2.86,843,731,43638,39451,16322,9343,0,1
bounty_hunter,1.07,304,383,6289,24806,0,8627,0,8
puck,2.67,613,710,28951,30367,275,8144,0,2
lion,0.88,313,376,9991,26583,54,9295,0,2
doom_bringer,1.33,665,685,25574,39684,0,13752,0,0
void_spirit,11.0,633,741,44468,33130,2416,4952,0,5
pangolier,5.14,482,641,19892,24565,2053,5696,0,1
silencer,5.29,372,502,14072,18571,372,2356,0,1
rubick,9.5,398,576,22339,16103,452,4972,0,4
monkey_king,20.5,820,781,60120,22074,7396,4534,0,1
enchantress,8.0,420,475,10096,5941,2875,120,5,3
skywrath_mage,5.5,339,390,9356,9213,356,91,5,3
snapfire,26.0,713,800,17199,11245,2220,111,1,1
terrorblade,15.0,746,673,9831,5920,11681,1060,0,0
primal_beast,23.0,644,789,13913,10942,1152,1028,0,0
morphling,0.0,439,480,3652,7184,0,2971,1,0
zuus,0.36,376,373,17303,17618,0,5131,1,0
broodmother,0.43,376,464,8706,16891,753,5341,0,0
techies,0.56,241,254,9698,9904,75,2514,3,0
disruptor,0.86,210,211,3902,8798,0,2650,5,2
terrorblade,1.33,566,499,18340,23088,1388,5747,0,1
void_spirit,0.67,359,397,12735,19012,486,5450,1,3
dark_seer,1.2,445,459,11459,13200,249,4017,0,0
tusk,0.75,215,227,6959,20525,33,7924,5,2
oracle,0.57,214,242,7518,13439,239,1305,8,3
ursa,16.0,666,710,17144,10965,7780,3623,0,0
shredder,23.0,689,657,37729,12136,7083,3902,1,0
death_prophet,21.0,413,434,12269,15061,6681,5094,0,0
rattletrap,6.67,403,426,12745,9191,423,4321,6,1
lich,2.83,284,361,9377,9658,1537,1987,7,4
shadow_demon,7.75,422,608,21546,11154,3034,1313,9,7
queenofpain,34.0,700,922,46331,12739,4672,4492,3,0
rattletrap,5.0,358,677,17986,19940,212,4501,6,4
dark_seer,36.0,512,707,15567,13797,1815,5334,0,0
medusa,30.0,925,907,38329,1325,14512,7505,0,0
terrorblade,1.67,575,513,16770,28894,1349,4603,0,1
kunkka,1.14,424,417,10496,34800,24,10829,1,0
snapfire,1.11,329,356,10800,24249,0,2770,8,4
spirit_breaker,1.0,303,526,7832,27152,0,7284,9,4
pangolier,0.75,373,370,13057,24664,725,5020,0,0
vengefulspirit,1.67,295,444,9288,14764,1188,2711,7,1
terrorblade,21.0,762,702,28035,10150,9304,233,0,1
pangolier,12.5,587,719,36264,17648,1117,2208,2,2
clinkz,4.75,402,571,16554,13822,7509,1821,6,0
doom_bringer,19.0,747,711,18746,14616,1020,2619,0,2
oracle,1.0,218,241,4916,17846,309,1704,6,2
earth_spirit,1.5,453,474,22372,36127,259,2758,2,1
beastmaster,4.0,439,496,7323,15024,3094,2668,0,0
techies,1.5,368,443,17919,13123,1041,2670,7,1
alchemist,2.5,700,622,18470,26767,45,2294,0,0
